"#dc143c","#dc143c","crimson","karmijn"
"#ff0000","#ff0000","red","rood"
"#ee0000","#ee0000","red2","rood2"
"#cd0000","#cd0000","red3","rood3"
"#8b0000","#8b0000","red4","rood4/donkerrood"
"#b22222","#b22222","firebrick","steenrood"
"#ff3030","#ff3030","firebrick1","steenrood1"
"#ee2c2c","#ee2c2c","firebrick2","steenrood2"
"#cd2626","#cd2626","firebrick3","steenrood3"
"#8b1a1a","#8b1a1a","firebrick4","steenrood4"
"#cd5c5c","#cd5c5c","indianred","indischrood"
"#ff6a6a","#ff6a6a","indianred1","indischrood1"
"#ee6363","#ee6363","indianred2","indischrood2"
"#cd5555","#cd5555","indianred3","indischrood3"
"#8b3a3a","#8b3a3a","indianred4","indischrood4"
"#f08080","#f08080","lightcoral","lichtkoraal"
"#ff4500","#ff4500","orangered","oranjerood"
"#ee4000","#ee4000","orangered2","oranjerood2"
"#cd3700","#cd3700","orangered3","oranjerood3"
"#8b2500","#8b2500","orangered4","oranjerood4"
"#ff6347","#ff6347","tomato","tomaat"
"#ee5c42","#ee5c42","tomato2","tomaat2"
"#cd4f39","#cd4f39","tomato3","tomaat3"
"#8b3626","#8b3626","tomato4","tomaat4"
"#ff7f50","#ff7f50","coral","koraal"
"#ff7256","#ff7256","coral1","koraal1"
"#ee6a50","#ee6a50","coral2","koraal2"
"#cd5b45","#cd5b45","coral3","koraal3"
"#8b3e2f","#8b3e2f","coral4","koraal4"
"#fa8072","#fa8072","salmon","zalm"
"#ff8c69","#ff8c69","salmon1","zalm1"
"#ee8262","#ee8262","salmon2","zalm2"
"#cd7054","#cd7054","salmon3","zalm3"
"#8b4c39","#8b4c39","salmon4","zalm4"
"#e9967a","#e9967a","darksalmon","donkerzalm"
"#ffa07a","#ffa07a","lightsalmon","lichtzalm"
"#ee9522","#ee9522","lightsalmon2","lichtzalm2"
"#cd8162","#cd8162","lightsalmon3","lichtzalm3"
"#8b5242","#8b5242","lightsalmon4","lichtzalm4"
"#ff8c00","#ff8c00","darkorange","donkeroranje"
"#ff7f00","#ff7f00","darkorange1","donkeroranje1"
"#ee7600","#ee7600","darkorange2","donkeroranje2"
"#cd6600","#cd6600","darkorange3","donkeroranje3"
"#8b4500","#8b4500","darkorange4","donkeroranje4"
"#ffa500","#ffa500","orange","oranje"
"#ee9a00","#ee9a00","orange2","oranje2"
"#cd8500","#cd8500","orange3","oranje3"
"#8b5a00","#8b5a00","orange4","oranje4"
"#b8860b","#b8860b","darkgoldenrod","guldenroede"
"#ffb90f","#ffb90f","darkgoldenrod1","guldenroede1"
"#eead0e","#eead0e","darkgoldenrod2","guldenroede2"
"#cd950c","#cd950c","darkgoldenrod3","guldenroede3"
"#8b6508","#8b6508","darkgoldenrod4","guldenroede4"
"#daa520","#daa520","goldenrod","guldenroede"
"#ffc125","#ffc125","goldenrod1","guldenroede1"
"#eeb422","#eeb422","goldenrod2","guldenroede2"
"#cd9b1d","#cd9b1d","goldenrod3","guldenroede3"
"#8b6914","#8b6914","goldenrod4","guldenroede4"
"#ffd700","#ffd700","gold","goud"
"#eec900","#eec900","gold2","goud2"
"#cdad00","#cdad00","gold3","goud3"
"#8b7500","#8b7500","gold4","goud4"
"#eedd82","#eedd82","lightgoldenrod","lichtguldenroede"
"#ffec8b","#ffec8b","lightgoldenrod1","lichtguldenroede1"
"#eedc82","#eedc82","lightgoldenrod2","lichtguldenroede2"
"#cdbe70","#cdbe70","lightgoldenrod3","lichtguldenroede3"
"#8b814c","#8b814c","lightgoldenrod4","lichtguldenroede4"
"#eee8aa","#eee8aa","palegoldenrod","faalguldenroede"
"#ffff00","#ffff00","yellow","geel"
"#eeee00","#eeee00","yellow2","geel2"
"#cdcd00","#cdcd00","yellow3","geel3"
"#8b8b00","#8b8b00","yellow4","geel4"
"#fafad2","#fafad2","ltgoldenrodyello","lichtguldenroedegeel"
"#ffffe0","#ffffe0","lightyellow","lichtgeel"
"#eeeed1","#eeeed1","lightyellow2","lichtgeel2"
"#cdcdb4","#cdcdb4","lightyellow3","lichtgeel3"
"#8b8b7a","#8b8b7a","lightyellow4","lichtgeel4"
"#fff8dc","#fff8dc","cornsilk","maiszijde"
"#eee8cd","#eee8cd","cornsilk2","maiszijde2"
"#cdc8b1","#cdc8b1","cornsilk3","maiszijde3"
"#8b8878","#8b8878","cornsilk4","maiszijde4"
"#fffff0","#fffff0","ivory","ivoor"
"#eeeee0","#eeeee0","ivory2","ivoor2"
"#cdcdc1","#cdcdc1","ivory3","ivoor3"
"#8b8b83","#8b8b83","ivory4","ivoor4"
"#fffacd","#fffacd","lemonchiffon","citroengarnering"
"#eee9bf","#eee9bf","lemonchiffon2","citroengarnering2"
"#cdc9a5","#cdc9a5","lemonchiffon3","citroengarnering3"
"#8b8970","#8b8970","lemonchiffon4","citroengarnering4"
"#fff68f","#fff68f","khaki","kaki"
"#eee685","#eee685","khaki2","kaki2"
"#cdc673","#cdc673","khaki3","kaki3"
"#8b864e","#8b864e","khaki4","kaki4"
"#bdb76b","#bdb76b","darkkhaki","donkerkaki"
"#adff2f","#adff2f","greenyellow","groengeel"
"#9acd32","#9acd32","yellowgreen","geelgroen"
"#6b8e23","#6b8e23","olivedrab","legergroen"
"#c0ff3e","#c0ff3e","olivedrab1","legergroen1"
"#b3ee3a","#b3ee3a","olivedrab2","legergroen2"
"#9acd32","#9acd32","olivedrab3","legergroen3"
"#698b22","#698b22","olivedrab4","legergroen4"
"#556b2f","#556b2f","darkolivegreen","donkerolijfgroen"
"#caff70","#caff70","darkolivegreen1","donkerolijfgroen1"
"#bcee68","#bcee68","darkolivegreen2","donkerolijfgroen2"
"#a2cd5a","#a2cd5a","darkolivegreen3","donkerolijfgroen3"
"#6e8b3d","#6e8b3d","darkolivegreen4","donkerolijfgroen4"
